product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock
P001,Frejol Velvet 2 Seater Sofa In Steel Grey Colour,Hometown,19674,16100,18,Fabric,Steel Grey,2 Seater,172x76x84,36.7,3.6,258,Vintage,Coil Spring,Sheesham Wood,Yes,1,Yes
P002,Jessy Fabric 2 Seater Sofa In Grey Colour,Zuari,35213,31700,10,PU Leather,Grey,2 Seater,172x76x84,73.4,4.0,179,Vintage,High Resilience Foam,Walnut Wood,No,10,Yes
P003,Bari Leatherette 2 Seater Sofa In Earthy Brown Colour,Recliners India,36424,29500,19,Chenille,Earthy Brown,2 Seater,176x80x84,64.5,5.0,407,Modern,Foam + Spring,Metal,No,10,Yes
P004,Alejandro Velvet 2 Seater Sofa In Tan Colour,Damro,37615,33100,12,Jacquard Fabric,Tan,2 Seater,168x73x78,82.7,4.1,484,Traditional,Pocket Spring,Stainless Steel,Yes,2,Yes
P005,Miranda Chenille 2 Seater Sofa In Charcoal Colour,Nilkamal,28752,25300,12,Jacquard Fabric,Charcoal,2 Seater,174x78x84,44.0,4.1,590,Classic,Pocket Spring,Plastic,Yes,10,Yes
P006,Andres Chenille 2 Seater Sofa In Off White Colour,Urban Ladder,13456,10400,23,Genuine Leather,Off White,2 Seater,176x79x84,83.2,4.0,531,Rustic,Foam,Solid Oak,No,2,Yes
P007,Luxor Leatherette 2 Seater Sofa In Rustic Brown Colour,Furlenco,81176,68200,16,Linen,Rustic Brown,2 Seater,190x85x90,47.1,5.0,541,Casual,Foam + Fibre,Sheesham Wood,No,10,Yes
P008,Scandic Wooden 2 Seater Sofa In Earthy Brown Colour,Urban Ladder,16304,13500,17,Chenille,Earthy Brown,2 Seater,185x84x86,67.8,4.2,277,Scandinavian,Foam + Fibre,Solid Oak,No,10,No
P009,Casper Velvet 2 Seater Sofa In Light Brown Colour,Wakefit,49247,44300,10,Chenille,Light Brown,2 Seater,174x78x84,60.0,4.9,289,Luxury,High Resilience Foam,Solid Oak,No,1,No
P010,Nordic Linen 2 Seater Sofa In Earthy Brown Colour,Nilkamal,40294,31400,22,Printed Fabric,Earthy Brown,2 Seater,180x82x86,87.4,4.9,20,Modern,Coil Spring,Plastic,Yes,1,Yes
P011,Elegance Suede 2 Seater Sofa In Caramel Colour,Wakefit,11403,9100,20,Chenille,Caramel,2 Seater,165x72x78,79.9,5.0,565,Classic,Coil Spring,Sheesham Wood,Yes,10,Yes
P012,Brio Polyester 2 Seater Sofa In Carbon Grey Colour,@home,31681,27200,14,Top Grain Leather,Carbon Grey,2 Seater,185x80x88,56.9,4.5,402,Scandinavian,Coil Spring,Brass Finished Wood,No,2,Yes
P013,Luxe PU Leather 2 Seater Sofa In Floral Pink Colour,Furlenco,29642,26100,12,Chenille,Floral Pink,2 Seater,176x79x84,35.4,4.6,80,Mid-Century Modern,Pocket Spring,Metal,Yes,10,Yes
P014,Heritage Teak 2 Seater Sofa In Graphite Colour,Urban Ladder,31852,24500,23,Polyester,Graphite,2 Seater,174x78x84,66.7,3.9,504,Modern,High Resilience Foam,Sheesham Wood,No,2,Yes
P015,Studio Cotton 2 Seater Sofa In Ash Grey Colour,Hometown,11612,10900,6,Chenille,Ash Grey,2 Seater,178x80x86,57.1,4.0,131,Luxury,Foam + Spring,Mango Wood,No,5,Yes
P016,Zen Recliner 2 Seater Sofa In Ash Grey Colour,Zuari,17260,13500,22,Microsuede,Ash Grey,2 Seater,174x78x84,40.4,4.5,573,Scandinavian,Foam + Spring,Solid Wood,No,2,Yes
