product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock
P001,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P002,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P003,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P004,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P005,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P006,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P007,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P008,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P009,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P010,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P011,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P012,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P013,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P014,N/A,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
P015,,Pepperfry,N/A,N/A,N/A,Fabric,N/A,2 Seater,N/A,N/A,N/A,N/A,Modern,Foam,Wood,Yes,1,Yes
