product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock,brand_product_count,brand_avg_rating,brand_total_reviews,brand_avg_price,brand_avg_discount,brand_instock_rate,popularity_score,brand_tier,brand_popularity_rank,brand_price_segment,associated_brands,value_score,price_per_kg,is_premium,high_rated,review_engagement
P001,Frejol Velvet 2 Seater Sofa In Steel Grey Colour,Hometown,19674,16100,18,Fabric,Steel Grey,2 Seater,172x76x84,36.7,3.6,258,Vintage,Coil Spring,Sheesham Wood,Yes,1,Yes,11,4.16,3264,31809.09,12.18,90.91,0.32,Budget,15,Mid-Range,"@home, Damro, Durian, FabIndia",57.6894,438.69,0,0,Medium
P002,Jessy Fabric 2 Seater Sofa In Grey Colour,Zuari,35213,31700,10,PU Leather,Grey,2 Seater,172x76x84,73.4,4.0,179,Vintage,High Resilience Foam,Walnut Wood,No,10,Yes,11,4.11,3833,28254.55,14.36,90.91,0.3257,Budget,13,Mid-Range,"@home, Damro, Durian, FabIndia",22.5868,431.88,0,0,Medium
P003,Bari Leatherette 2 Seater Sofa In Earthy Brown Colour,Recliners India,36424,29500,19,Chenille,Earthy Brown,2 Seater,176x80x84,64.5,5.0,407,Modern,Foam + Spring,Metal,No,10,Yes,12,4.34,4228,34000.0,11.75,83.33,0.5015,Mid,5,Mid-Range,"@home, Damro, Durian, FabIndia",68.9831,457.36,0,1,High
P004,Alejandro Velvet 2 Seater Sofa In Tan Colour,Damro,37615,33100,12,Jacquard Fabric,Tan,2 Seater,168x73x78,82.7,4.1,484,Traditional,Pocket Spring,Stainless Steel,Yes,2,Yes,9,4.26,3190,37822.22,13.67,88.89,0.344,Budget,10,Mid-Range,"@home, Durian, FabIndia, Featherlite",59.9517,400.24,0,0,High
P005,Miranda Chenille 2 Seater Sofa In Charcoal Colour,Nilkamal,28752,25300,12,Jacquard Fabric,Charcoal,2 Seater,174x78x84,44.0,4.1,590,Classic,Pocket Spring,Plastic,Yes,10,Yes,10,4.31,3058,35150.0,16.2,80.0,0.3429,Budget,11,Mid-Range,"@home, Damro, Durian, FabIndia",95.6126,575.0,0,0,High
P006,Andres Chenille 2 Seater Sofa In Off White Colour,Urban Ladder,13456,10400,23,Genuine Leather,Off White,2 Seater,176x79x84,83.2,4.0,531,Rustic,Foam,Solid Oak,No,2,Yes,11,4.35,4073,28190.91,15.36,90.91,0.5185,Mid,4,Mid-Range,"@home, Damro, Durian, FabIndia",204.2308,125.0,0,0,High
P007,Luxor Leatherette 2 Seater Sofa In Rustic Brown Colour,Furlenco,81176,68200,16,Linen,Rustic Brown,2 Seater,190x85x90,47.1,5.0,541,Casual,Foam + Fibre,Sheesham Wood,No,10,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",39.6628,1447.98,1,1,High
P008,Scandic Wooden 2 Seater Sofa In Earthy Brown Colour,Urban Ladder,16304,13500,17,Chenille,Earthy Brown,2 Seater,185x84x86,67.8,4.2,277,Scandinavian,Foam + Fibre,Solid Oak,No,10,No,11,4.35,4073,28190.91,15.36,90.91,0.5185,Mid,4,Mid-Range,"@home, Damro, Durian, FabIndia",86.1778,199.12,0,0,Medium
P009,Casper Velvet 2 Seater Sofa In Light Brown Colour,Wakefit,49247,44300,10,Chenille,Light Brown,2 Seater,174x78x84,60.0,4.9,289,Luxury,High Resilience Foam,Solid Oak,No,1,No,9,4.3,2561,47777.78,13.33,88.89,0.3266,Budget,12,Premium,"Evok, Stanley",31.9661,738.33,1,1,Medium
P010,Nordic Linen 2 Seater Sofa In Earthy Brown Colour,Nilkamal,40294,31400,22,Printed Fabric,Earthy Brown,2 Seater,180x82x86,87.4,4.9,20,Modern,Coil Spring,Plastic,Yes,1,Yes,10,4.31,3058,35150.0,16.2,80.0,0.3429,Budget,11,Mid-Range,"@home, Damro, Durian, FabIndia",3.121,359.27,0,1,Low
P011,Elegance Suede 2 Seater Sofa In Caramel Colour,Wakefit,11403,9100,20,Chenille,Caramel,2 Seater,165x72x78,79.9,5.0,565,Classic,Coil Spring,Sheesham Wood,Yes,10,Yes,9,4.3,2561,47777.78,13.33,88.89,0.3266,Budget,12,Premium,"Evok, Stanley",310.4396,113.89,0,1,High
P012,Brio Polyester 2 Seater Sofa In Carbon Grey Colour,@home,31681,27200,14,Top Grain Leather,Carbon Grey,2 Seater,185x80x88,56.9,4.5,402,Scandinavian,Coil Spring,Brass Finished Wood,No,2,Yes,9,4.19,2374,28044.44,13.67,88.89,0.2326,Budget,18,Mid-Range,"Damro, Durian, FabIndia, Featherlite",66.5074,478.03,0,1,High
P013,Luxe PU Leather 2 Seater Sofa In Floral Pink Colour,Furlenco,29642,26100,12,Chenille,Floral Pink,2 Seater,176x79x84,35.4,4.6,80,Mid-Century Modern,Pocket Spring,Metal,Yes,10,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",14.0996,737.29,0,1,Low
P014,Heritage Teak 2 Seater Sofa In Graphite Colour,Urban Ladder,31852,24500,23,Polyester,Graphite,2 Seater,174x78x84,66.7,3.9,504,Modern,High Resilience Foam,Sheesham Wood,No,2,Yes,11,4.35,4073,28190.91,15.36,90.91,0.5185,Mid,4,Mid-Range,"@home, Damro, Durian, FabIndia",80.2286,367.32,0,0,High
P015,Studio Cotton 2 Seater Sofa In Ash Grey Colour,Hometown,11612,10900,6,Chenille,Ash Grey,2 Seater,178x80x86,57.1,4.0,131,Luxury,Foam + Spring,Mango Wood,No,5,Yes,11,4.16,3264,31809.09,12.18,90.91,0.32,Budget,15,Mid-Range,"@home, Damro, Durian, FabIndia",48.0734,190.89,0,0,Medium
P016,Zen Recliner 2 Seater Sofa In Ash Grey Colour,Zuari,17260,13500,22,Microsuede,Ash Grey,2 Seater,174x78x84,40.4,4.5,573,Scandinavian,Foam + Spring,Solid Wood,No,2,Yes,11,4.11,3833,28254.55,14.36,90.91,0.3257,Budget,13,Mid-Range,"@home, Damro, Durian, FabIndia",191.0,334.16,0,1,High
P017,Classic Leather 2 Seater Sofa In Beige Colour,Stanley,26210,24900,5,Microfiber,Beige,2 Seater,172x76x82,89.2,3.9,485,Minimalist,Feather + Foam,Reclaimed Wood,No,1,Yes,8,4.34,2760,43687.5,13.25,100.0,0.4094,Budget,7,Premium,"Evok, Wakefit",75.9639,279.15,0,0,High
P018,Bloom Jacquard 2 Seater Sofa In Sky Blue Colour,Zuari,15138,14200,6,Handloom Cotton,Sky Blue,2 Seater,172x76x82,37.8,4.2,563,Scandinavian,Pocket Spring,Teak Wood,Yes,10,Yes,11,4.11,3833,28254.55,14.36,90.91,0.3257,Budget,13,Mid-Range,"@home, Damro, Durian, FabIndia",166.5211,375.66,0,0,High
P019,Futon Convertible 2 Seater Sofa In Floral Pink Colour,Pepperfry,19333,17000,12,Microfiber,Floral Pink,2 Seater,185x84x86,66.8,3.6,103,Modern,Bonded Foam,Metal,Yes,3,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",21.8118,254.49,0,0,Medium
P020,Royale Silk Velvet 2 Seater Sofa In Royal Blue Colour,Featherlite,47970,43700,9,Printed Fabric,Royal Blue,2 Seater,185x84x86,71.9,3.9,343,Classic,Coil Spring,Sheesham Wood,No,2,No,11,4.36,3342,33145.45,11.73,81.82,0.4262,Budget,6,Mid-Range,"@home, Damro, Durian, FabIndia",30.611,607.79,1,0,High
P021,Maven Faux Leather 2 Seater Sofa In Rustic Brown Colour,Pepperfry,28289,24600,13,Fabric,Rustic Brown,2 Seater,168x74x82,42.3,4.0,90,Bohemian,Bonded Foam,Solid Rosewood,Yes,7,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",14.6341,581.56,0,0,Low
P022,Comfort Plus Fabric 2 Seater Sofa In Charcoal Colour,Woodcraft,38395,34900,9,Microfiber,Charcoal,2 Seater,175x78x82,49.5,4.8,586,Bohemian,High Resilience Foam,Stainless Steel,Yes,7,Yes,8,4.28,2915,28162.5,12.75,87.5,0.3146,Budget,16,Mid-Range,"@home, Damro, Durian, FabIndia",80.596,705.05,0,1,High
P023,Aria Fabric 2 Seater Sofa In Tan Colour,Damro,71458,67200,6,PU Leather,Tan,2 Seater,185x84x86,40.1,4.1,303,Vintage,Memory Foam,Sheesham Wood,No,7,Yes,9,4.26,3190,37822.22,13.67,88.89,0.344,Budget,10,Mid-Range,"@home, Durian, FabIndia, Featherlite",18.4866,1675.81,1,0,High
P024,Imperio PU Leather 2 Seater Sofa In Off White Colour,Godrej Interio,11832,11000,7,Suede,Off White,2 Seater,188x86x92,87.0,4.5,172,Scandinavian,Feather + Foam,Brass Finished Wood,No,7,Yes,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",70.3636,126.44,0,1,Medium
P025,Meadow Handloom 2 Seater Sofa In Cognac Colour,Springwel,15862,14100,11,Top Grain Leather,Cognac,2 Seater,165x72x78,72.5,4.5,382,Scandinavian,Foam + Spring,Solid Wood,No,3,Yes,12,4.18,3947,25216.67,14.75,91.67,0.4057,Budget,8,Mid-Range,"@home, Damro, Durian, FabIndia",121.9149,194.48,0,1,High
P026,Posh Velvet 2 Seater Sofa In Graphite Colour,IKEA,32068,27300,15,Linen,Graphite,2 Seater,170x75x80,78.0,4.1,274,Mid-Century Modern,Foam + Fibre,Solid Oak,No,1,Yes,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",41.1502,350.0,0,0,Medium
P027,Serene Microsuede 2 Seater Sofa In Dark Green Colour,Hometown,45001,39600,12,Silk Velvet,Dark Green,2 Seater,172x76x84,47.3,4.5,428,Rustic,Foam,Reclaimed Wood,Yes,5,Yes,11,4.16,3264,31809.09,12.18,90.91,0.32,Budget,15,Mid-Range,"@home, Damro, Durian, FabIndia",48.6364,837.21,0,1,High
P028,Tropicana Printed 2 Seater Sofa In Light Brown Colour,Pepperfry,14279,12900,10,Suede,Light Brown,2 Seater,185x84x86,66.9,5.0,59,Classic,High Resilience Foam,Walnut Wood,No,1,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",22.8682,192.83,0,1,Low
P029,Monarch Leather 2 Seater Sofa In Black Colour,Springwel,24174,22700,6,Polyester,Black,2 Seater,168x74x82,74.0,3.5,571,Minimalist,Bonded Foam,Brass Finished Wood,No,10,Yes,12,4.18,3947,25216.67,14.75,91.67,0.4057,Budget,8,Mid-Range,"@home, Damro, Durian, FabIndia",88.0396,306.76,0,0,High
P030,Plush Fabric 2 Seater Sofa In Burgundy Colour,Durian,51618,44400,14,Jacquard Fabric,Burgundy,2 Seater,176x79x84,71.7,4.0,322,Minimalist,High Density Foam,Plastic,No,1,Yes,6,4.27,1629,26766.67,13.67,83.33,0.1579,Budget,19,Mid-Range,"@home, Damro, FabIndia, Featherlite",29.009,619.25,1,0,High
P031,Vintage Reclaimed 2 Seater Sofa In Ash Grey Colour,IKEA,14978,12900,14,Silk Velvet,Ash Grey,2 Seater,183x84x88,46.6,4.7,349,Luxury,Foam + Fibre,Solid Rosewood,No,3,Yes,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",127.155,276.82,0,1,High
P032,Alesund Fabric 2 Seater Sofa In Mustard Yellow Colour,Durian,38061,33500,12,Printed Fabric,Mustard Yellow,2 Seater,168x73x78,72.0,3.8,223,Bohemian,Foam + Fibre,Plastic,No,7,Yes,6,4.27,1629,26766.67,13.67,83.33,0.1579,Budget,19,Mid-Range,"@home, Damro, FabIndia, Featherlite",25.2955,465.28,0,0,Medium
P033,Regal Chesterfield 2 Seater Sofa In Cream Colour,Stanley,81192,71400,12,Handloom Cotton,Cream,2 Seater,178x80x86,43.1,4.5,129,Traditional,High Density Foam,Reclaimed Wood,Yes,3,Yes,8,4.34,2760,43687.5,13.25,100.0,0.4094,Budget,7,Premium,"Evok, Wakefit",8.1303,1656.61,1,1,Medium
P034,Compact Polyester 2 Seater Sofa In Teal Colour,Nilkamal,33131,26800,19,Printed Fabric,Teal,2 Seater,172x76x84,71.7,5.0,344,Bohemian,Foam,Brass Finished Wood,Yes,5,No,10,4.31,3058,35150.0,16.2,80.0,0.3429,Budget,11,Mid-Range,"@home, Damro, Durian, FabIndia",64.1791,373.78,0,1,High
P035,Comfy Microfiber 2 Seater Sofa In Graphite Colour,Furlenco,43102,32300,25,Printed Fabric,Graphite,2 Seater,170x75x80,50.3,4.7,516,Minimalist,High Resilience Foam,Reclaimed Wood,No,5,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",75.0836,642.15,0,1,High
P036,Havana Leather 2 Seater Sofa In Dark Blue Colour,Furlenco,12267,11200,9,Leatherette,Dark Blue,2 Seater,174x78x84,47.7,4.5,239,Vintage,Coil Spring,Sheesham Wood,No,3,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",96.0268,234.8,0,1,Medium
P037,Porto Velvet 2 Seater Sofa In Black Colour,Recliners India,19432,16100,17,Top Grain Leather,Black,2 Seater,172x76x82,61.2,4.9,325,Bohemian,Foam + Spring,Wood,No,3,Yes,12,4.34,4228,34000.0,11.75,83.33,0.5015,Mid,5,Mid-Range,"@home, Damro, Durian, FabIndia",98.913,263.07,0,1,High
P038,Cairo Linen 2 Seater Sofa In Light Brown Colour,IKEA,24472,20100,18,Top Grain Leather,Light Brown,2 Seater,185x80x88,61.7,4.1,434,Vintage,High Resilience Foam,Solid Oak,Yes,5,Yes,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",88.5274,325.77,0,0,High
P039,Oslo Fabric 2 Seater Sofa In Cognac Colour,Furlenco,63894,51800,19,Linen,Cognac,2 Seater,178x80x84,45.0,3.9,355,Traditional,High Resilience Foam,Wood,Yes,1,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",26.7278,1151.11,1,0,High
P040,Kyoto Suede 2 Seater Sofa In Off White Colour,Recliners India,15733,13800,12,Silk Velvet,Off White,2 Seater,168x73x78,70.8,4.7,61,Casual,Foam + Spring,Teak Wood,No,1,Yes,12,4.34,4228,34000.0,11.75,83.33,0.5015,Mid,5,Mid-Range,"@home, Damro, Durian, FabIndia",20.7754,194.92,0,1,Low
P041,Lima Cotton 2 Seater Sofa In Teal Colour,Durian,27620,24000,13,Fabric,Teal,2 Seater,168x78x80,77.2,3.8,137,Traditional,Foam + Fibre,Sheesham Wood,No,1,Yes,6,4.27,1629,26766.67,13.67,83.33,0.1579,Budget,19,Mid-Range,"@home, Damro, FabIndia, Featherlite",21.6917,310.88,0,0,Medium
P042,Vienna Chenille 2 Seater Sofa In Ivory Colour,Woodcraft,21246,16400,23,Chenille,Ivory,2 Seater,183x84x88,73.0,4.4,124,Traditional,Foam,Teak Wood,No,3,Yes,8,4.28,2915,28162.5,12.75,87.5,0.3146,Budget,16,Mid-Range,"@home, Damro, Durian, FabIndia",33.2683,224.66,0,0,Medium
P043,Berlin Fabric 2 Seater Sofa In Tan Colour,Damro,79286,73700,7,Chenille,Tan,2 Seater,165x72x78,62.8,4.0,450,Industrial,Bonded Foam,Solid Oak,No,7,Yes,9,4.26,3190,37822.22,13.67,88.89,0.344,Budget,10,Mid-Range,"@home, Durian, FabIndia, Featherlite",24.4233,1173.57,1,0,High
P044,Roma Leatherette 2 Seater Sofa In Dark Brown Colour,IKEA,52635,42100,20,Jacquard Fabric,Dark Brown,2 Seater,168x78x80,60.6,4.7,294,Luxury,Feather + Foam,Stainless Steel,No,1,Yes,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",32.8219,694.72,1,1,Medium
P045,Seoul Velvet 2 Seater Sofa In Teal Colour,Pepperfry,18098,15400,15,Suede,Teal,2 Seater,180x80x85,45.0,3.8,284,Bohemian,Pocket Spring,Solid Oak,No,3,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",70.0779,342.22,0,0,Medium
P046,Dubai Leather 2 Seater Sofa In Graphite Colour,Damro,87020,67900,22,Suede,Graphite,2 Seater,172x76x82,76.7,4.5,522,Artisanal,Foam,Brass Finished Wood,Yes,2,Yes,9,4.26,3190,37822.22,13.67,88.89,0.344,Budget,10,Mid-Range,"@home, Durian, FabIndia, Featherlite",34.595,885.27,1,1,High
P047,Paris Jacquard 2 Seater Sofa In Grey Colour,Pepperfry,50508,39400,22,Cotton Fabric,Grey,2 Seater,172x76x84,64.2,4.1,583,Mid-Century Modern,Foam + Spring,Stainless Steel,No,10,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",60.6675,613.71,0,0,High
P048,Tokyo Microfiber 2 Seater Sofa In Sky Blue Colour,Furlenco,18779,16900,10,Suede,Sky Blue,2 Seater,168x74x82,45.5,4.6,303,Casual,Coil Spring,Sheesham Wood,Yes,3,Yes,9,4.59,2889,35955.56,14.33,100.0,0.6179,Mid,2,Mid-Range,"@home, Damro, Durian, FabIndia",82.4734,371.43,0,1,High
P049,Sydney Fabric 2 Seater Sofa In Earthy Brown Colour,Evok,35464,27700,22,Cotton Fabric,Earthy Brown,2 Seater,172x76x84,42.0,3.6,75,Modern,Pocket Spring,Teak Wood,No,1,Yes,7,4.39,1297,40571.43,17.29,100.0,0.3208,Budget,14,Premium,"Stanley, Wakefit",9.7473,659.52,0,0,Low
P050,Tochi Fabric 2 Seater Sofa In Sky Blue Colour,Godrej Interio,77329,69600,10,Handloom Cotton,Sky Blue,2 Seater,175x78x82,88.1,3.9,509,Modern,Foam,Solid Rosewood,No,5,Yes,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",28.5216,790.01,1,0,High
P051,Frejol Velvet 2 Seater Sofa In Beige Colour,Sarita Handa,33290,25600,23,Handloom Cotton,Beige,2 Seater,185x84x86,87.2,3.6,274,Modern,Bonded Foam,Plastic,Yes,1,Yes,8,4.19,2285,28487.5,20.75,100.0,0.2649,Budget,17,Mid-Range,"@home, Damro, Durian, FabIndia",38.5312,293.58,0,0,Medium
P052,Jessy Fabric 2 Seater Sofa In Earthy Brown Colour,IKEA,75014,57800,23,Genuine Leather,Earthy Brown,2 Seater,180x80x85,69.2,4.4,121,Industrial,High Resilience Foam,Walnut Wood,No,2,No,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",9.2111,835.26,1,0,Medium
P053,Bari Leatherette 2 Seater Sofa In Ash Grey Colour,Durian,12564,11900,5,Suede,Ash Grey,2 Seater,172x76x84,57.5,4.5,501,Luxury,High Density Foam,Solid Wood,Yes,7,Yes,6,4.27,1629,26766.67,13.67,83.33,0.1579,Budget,19,Mid-Range,"@home, Damro, FabIndia, Featherlite",189.4538,206.96,0,1,High
P054,Alejandro Velvet 2 Seater Sofa In Teal Colour,Woodcraft,26966,24800,8,Cotton Fabric,Teal,2 Seater,185x84x86,65.0,4.5,292,Vintage,Feather + Foam,Metal,Yes,2,Yes,8,4.28,2915,28162.5,12.75,87.5,0.3146,Budget,16,Mid-Range,"@home, Damro, Durian, FabIndia",52.9839,381.54,0,1,Medium
P055,Miranda Chenille 2 Seater Sofa In Beige Colour,Urban Ladder,17679,15200,14,Microfiber,Beige,2 Seater,190x85x90,73.5,4.9,532,Industrial,Coil Spring,Solid Rosewood,No,5,Yes,11,4.35,4073,28190.91,15.36,90.91,0.5185,Mid,4,Mid-Range,"@home, Damro, Durian, FabIndia",171.5,206.8,0,1,High
P056,Andres Chenille 2 Seater Sofa In Mustard Yellow Colour,Pepperfry,31048,23900,23,Velvet,Mustard Yellow,2 Seater,174x78x84,67.3,3.5,295,Minimalist,Memory Foam,Solid Rosewood,Yes,1,Yes,11,4.26,3273,30181.82,15.73,90.91,0.3936,Budget,9,Mid-Range,"@home, Damro, Durian, FabIndia",43.2008,355.13,0,0,Medium
P057,Luxor Leatherette 2 Seater Sofa In Earthy Brown Colour,Nilkamal,17700,14900,16,Handloom Cotton,Earthy Brown,2 Seater,170x75x80,57.5,4.0,127,Artisanal,Feather + Foam,Teak Wood,No,5,Yes,10,4.31,3058,35150.0,16.2,80.0,0.3429,Budget,11,Mid-Range,"@home, Damro, Durian, FabIndia",34.094,259.13,0,0,Medium
P058,Scandic Wooden 2 Seater Sofa In Off White Colour,IKEA,15153,13200,13,Handloom Cotton,Off White,2 Seater,182x80x88,52.8,5.0,433,Casual,Foam + Spring,Solid Oak,Yes,5,Yes,18,4.26,6022,27005.56,15.72,88.89,0.7038,Top,1,Mid-Range,"@home, Damro, Durian, FabIndia",164.0152,250.0,0,1,High
P059,Casper Velvet 2 Seater Sofa In Cognac Colour,Wakefit,83970,78900,6,Top Grain Leather,Cognac,2 Seater,172x76x82,46.2,4.3,314,Bohemian,Foam + Spring,Wood,No,10,Yes,9,4.3,2561,47777.78,13.33,88.89,0.3266,Budget,12,Premium,"Evok, Stanley",17.1128,1707.79,1,0,High
P060,Nordic Linen 2 Seater Sofa In Sky Blue Colour,@home,19048,15600,18,Chenille,Sky Blue,2 Seater,172x76x84,40.1,5.0,136,Contemporary,Bonded Foam,Solid Oak,Yes,2,Yes,9,4.19,2374,28044.44,13.67,88.89,0.2326,Budget,18,Mid-Range,"Damro, Durian, FabIndia, Featherlite",43.5897,389.03,0,1,Medium
P061,Elegance Suede 2 Seater Sofa In Dark Brown Colour,Godrej Interio,85948,75600,12,Handloom Cotton,Dark Brown,2 Seater,188x86x92,60.1,3.7,215,Vintage,Coil Spring,Brass Finished Wood,No,3,No,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",10.5225,1257.9,1,0,Medium
P062,Brio Polyester 2 Seater Sofa In Floral Pink Colour,Godrej Interio,44784,34500,23,Leatherette,Floral Pink,2 Seater,180x82x86,66.9,4.5,172,Casual,Foam + Spring,Mango Wood,No,1,Yes,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",22.4348,515.7,0,1,Medium
P063,Luxe PU Leather 2 Seater Sofa In Caramel Colour,Springwel,29369,24400,17,Polyester,Caramel,2 Seater,180x80x85,47.8,4.7,64,Artisanal,High Resilience Foam,Walnut Wood,No,2,Yes,12,4.18,3947,25216.67,14.75,91.67,0.4057,Budget,8,Mid-Range,"@home, Damro, Durian, FabIndia",12.3279,510.46,0,1,Low
P064,Heritage Teak 2 Seater Sofa In Caramel Colour,Sarita Handa,38289,31000,19,Silk Velvet,Caramel,2 Seater,165x72x78,40.5,4.9,35,Luxury,Foam + Fibre,Reclaimed Wood,Yes,7,Yes,8,4.19,2285,28487.5,20.75,100.0,0.2649,Budget,17,Mid-Range,"@home, Damro, Durian, FabIndia",5.5323,765.43,0,1,Low
P065,Studio Cotton 2 Seater Sofa In Black Colour,Godrej Interio,52486,43600,17,Leatherette,Black,2 Seater,185x80x88,87.5,4.4,519,Bohemian,Coil Spring,Mango Wood,No,1,Yes,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",52.3761,498.29,1,0,High
P066,Zen Recliner 2 Seater Sofa In Cream Colour,Damro,11646,9400,19,Leatherette,Cream,2 Seater,190x85x90,44.2,3.9,49,Mid-Century Modern,Coil Spring,Sheesham Wood,Yes,3,Yes,9,4.26,3190,37822.22,13.67,88.89,0.344,Budget,10,Mid-Range,"@home, Durian, FabIndia, Featherlite",20.3298,212.67,0,0,Low
P067,Classic Leather 2 Seater Sofa In Dark Green Colour,Urban Ladder,66801,60100,10,Cotton Fabric,Dark Green,2 Seater,168x78x80,44.6,4.4,411,Classic,Memory Foam,Walnut Wood,Yes,7,Yes,11,4.35,4073,28190.91,15.36,90.91,0.5185,Mid,4,Mid-Range,"@home, Damro, Durian, FabIndia",30.0899,1347.53,1,0,High
P068,Bloom Jacquard 2 Seater Sofa In Teal Colour,@home,17622,15200,14,Linen,Teal,2 Seater,174x78x84,72.3,3.7,472,Mid-Century Modern,Feather + Foam,Plastic,No,2,No,9,4.19,2374,28044.44,13.67,88.89,0.2326,Budget,18,Mid-Range,"Damro, Durian, FabIndia, Featherlite",114.8947,210.24,0,0,High
P069,Futon Convertible 2 Seater Sofa In Royal Blue Colour,Woodcraft,61990,54600,12,Faux Leather,Royal Blue,2 Seater,175x78x82,56.0,4.0,322,Vintage,Coil Spring,Reclaimed Wood,Yes,3,No,8,4.28,2915,28162.5,12.75,87.5,0.3146,Budget,16,Mid-Range,"@home, Damro, Durian, FabIndia",23.5897,975.0,1,0,High
P070,Royale Silk Velvet 2 Seater Sofa In Tan Colour,Wakefit,73757,64900,12,Silk Velvet,Tan,2 Seater,185x84x86,68.4,4.0,214,Casual,Foam,Solid Rosewood,Yes,10,Yes,9,4.3,2561,47777.78,13.33,88.89,0.3266,Budget,12,Premium,"Evok, Stanley",13.1895,948.83,1,0,Medium
P071,Maven Faux Leather 2 Seater Sofa In Dusty Rose Colour,Godrej Interio,39307,36600,7,Chenille,Dusty Rose,2 Seater,180x80x85,85.0,4.0,445,Luxury,Foam,Teak Wood,Yes,10,Yes,14,4.29,4744,36264.29,15.43,92.86,0.5842,Mid,3,Mid-Range,"@home, Damro, Durian, FabIndia",48.6339,430.59,0,0,High
P072,Comfort Plus Fabric 2 Seater Sofa In Carbon Grey Colour,Zuari,46100,42400,8,Jacquard Fabric,Carbon Grey,2 Seater,170x75x80,60.8,3.6,251,Artisanal,High Resilience Foam,Teak Wood,No,5,Yes,11,4.11,3833,28254.55,14.36,90.91,0.3257,Budget,13,Mid-Range,"@home, Damro, Durian, FabIndia",21.3113,697.37,1,0,Medium
P073,Aria Fabric 2 Seater Sofa In Burgundy Colour,Sarita Handa,17451,14700,16,Top Grain Leather,Burgundy,2 Seater,178x80x84,72.0,4.5,410,Classic,High Density Foam,Solid Oak,Yes,2,Yes,8,4.19,2285,28487.5,20.75,100.0,0.2649,Budget,17,Mid-Range,"@home, Damro, Durian, FabIndia",125.5102,204.17,0,1,High
P074,Imperio PU Leather 2 Seater Sofa In Charcoal Colour,Hometown,30612,28500,7,Genuine Leather,Charcoal,2 Seater,182x80x88,69.9,4.2,329,Bohemian,Foam,Solid Rosewood,No,10,Yes,11,4.16,3264,31809.09,12.18,90.91,0.32,Budget,15,Mid-Range,"@home, Damro, Durian, FabIndia",48.4842,407.73,0,0,High
